索引,名称,窃熔援,鹃趣逝,固杏落,流框,问划,步蜡晋,争赔囊,颂绿羚,切钮抽,辩瓶,呼爆,总数
65,帆殴,748,952,653,8,944,403,449,433,791,454,202,6037
66,听螃绳,141,698,286,185,619,608,942,975,407,27,960,5848
67,筛撰,339,710,37,653,786,235,490,241,979,540,215,5225
68,斤兴,59,593,274,958,151,612,42,343,275,954,543,4804
69,茂武跃,958,335,923,477,732,816,706,315,71,864,962,7159
70,磁斤,19,146,777,290,210,751,190,947,341,761,534,4966
71,剂中,919,752,460,438,29,860,795,18,412,948,260,5891
72,犀孟努,919,579,135,835,121,972,725,234,18,830,487,5855
73,出寂,521,320,755,149,772,616,671,177,486,538,145,5150
74,扒磁,963,151,415,578,383,881,846,301,405,925,588,6436
75,妈贫芭,582,136,265,153,931,196,36,44,466,841,785,4435
76,啼禁跃,712,197,636,189,814,215,330,963,331,266,986,5639
77,涕猴汝,273,916,647,554,611,628,181,154,359,147,856,5326
78,庐柴钝,815,901,805,698,601,786,456,478,550,875,714,7679
79,贷鲜,291,911,813,287,719,964,660,447,328,569,653,6642
80,盘乙,556,289,899,813,871,409,525,886,581,394,130,6353
81,幅察,907,775,942,230,784,754,267,964,833,317,441,7214
82,率弯,16,135,678,204,661,789,736,200,106,535,488,4548
83,跷继棉,289,629,287,839,385,697,269,942,232,203,231,5003
84,争沙卷,397,704,415,604,691,90,495,133,33,449,788,4799
85,潭存盐,59,953,777,893,978,799,42,481,150,188,711,6031
86,杆湾,815,849,347,509,28,966,847,930,20,726,848,6885
87,矾臀,439,928,117,691,22,308,322,631,331,199,499,4487
88,劫秆饵,784,791,338,174,51,341,241,371,123,225,972,4411
